"Item","Qty","Reference(s)","Value"
"1","1","A1","Arduino Uno R3"
"2","1","BT1","9V Battery"
"3","120","D[2-21, 24-43, 46-65, 68-87, 90-109, 112-130]","LED SMD 0603 Green"
"4","12","D[1, 22-23, 44-45, 66-D67, 88-89, 110-111, 132]","LED SMD 0603 Red"
"5","1","LCD1","LCD 1602A"
"6","9","R1-R5, R19-R22","R10k SMD 0805"
"7","12","R6-R17","R220 SMD 0805"
"8","1","R18","R330 SMD 0805"
"9","1","RV1","Potentiometer 10k"
"10","1","SW1","Dip Switch 1"
"11","4","SW2-SW5","Switch Button"
"12","1","U1","PCF8574 TH Port Expander"
